"","Admitted","Disposition_binary","Place","F_Aid","Species_e","Sex_e","Age_e","Brought_in_after","season","r","Green_Orange","ID"
"1","1/20/1995","Died","Lindsey","No","ANHU","Female-like ","adult-like",1,"Winter","caught by domestic animal","Non-selasphorus spp.","741_ANHU"
"2","3/22/2013","Died","Lindsey","No","ANHU","Male","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","4653_ANHU"
"3","11/7/2013","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Fall","found on the ground","Non-selasphorus spp.","4822_ANHU"
"4","3/18/2012","Released","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","4393_ANHU"
"5","2/1/2002","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Winter","window hit","Non-selasphorus spp.","2150_ANHU"
"6","2/24/2013","Released","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Winter","nest-related","Non-selasphorus spp.","4617_ANHU"
"7","6/19/2013","Released","malibu","No","Selasphorus","Female-like ","adult-like",0,"Summer","unknown","Selasphorus spp.","5993_ALHU"
"8","4/28/2016","Released","Santa Barbara","No","ANHU","Female-like ","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","6868_ANHU"
"9","4/14/1993","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","window hit","Non-selasphorus spp.","434_ANHU"
"10","4/2/2002","Released","Lindsey","Yes","Non-selasphorus","unknown","Nestling",0,"Spring","nest-related","Non-selasphorus spp.","2194_ANHU"
"11","4/25/2009","Released","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Spring","found on the ground","Non-selasphorus spp.","3706_ANHU"
"12","3/3/2016","Released","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Spring","found on the ground","Non-selasphorus spp.","5513_ANHU"
"13","4/5/2002","Died","Lindsey","Yes","Non-selasphorus","unknown","Nestling",0,"Spring","found on the ground","Non-selasphorus spp.","2199_ANHU"
"14","6/3/2003","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Summer","found on the ground","Non-selasphorus spp.","2500_ANHU"
"15","3/2/2013","Died","Lindsey","No","ANHU","Male","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","4624_ANHU"
"16","4/20/2011","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","4181_ANHU"
"17","2/25/2004","Released","Lindsey","Yes","ANHU","Female-like ","adult-like",4,"Winter","found on the ground","Non-selasphorus spp.","2617_ANHU"
"18","9/20/2002","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Fall","found on the ground","Non-selasphorus spp.","2335_ANHU"
"19","4/7/1998","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","caught by domestic animal","Non-selasphorus spp.","1371_ANHU"
"20","4/23/1993","Released","Lindsey","Yes","ANHU","Female-like ","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","448_ANHU"
"21","4/22/1992","Died","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Spring","nest-related","Non-selasphorus spp.","259_ANHU"
"22","5/28/1992","Died","Lindsey","Yes","Selasphorus","unknown","Nestling",1,"Spring","caught by domestic animal","Selasphorus spp.","292_ALHU"
"23","8/20/2014","Released","malibu","No","ANHU","Female-like ","adult-like",1,"Summer","unknown","Non-selasphorus spp.","6184_ANHU"
"24","11/10/1993","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Fall","suspect torpor-like state","Non-selasphorus spp.","553_ANHU"
"25","11/5/2013","Released","malibu","Yes","Selasphorus","Female-like ","adult-like",4,"Fall","unknown","Selasphorus spp.","5907_ALHU"
"26","4/15/2012","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","unknown","Non-selasphorus spp.","4433_ANHU"
"27","4/27/2006","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","window hit","Non-selasphorus spp.","3077_ANHU"
"28","6/2/2011","Released","Lindsey","No","ANHU","Male","adult-like",0,"Summer","window hit","Non-selasphorus spp.","4234_ANHU"
"29","5/8/2015","Died","malibu","No","Selasphorus","Female-like ","adult-like",0,"Spring","unknown","Selasphorus spp.","6415_ALHU"
"30","4/7/1998","Released","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Spring","found on the ground","Non-selasphorus spp.","1370_ANHU"
"31","12/14/2016","Died","malibu","Yes","Selasphorus","Female-like ","adult-like",0,"Winter","found on the ground","Selasphorus spp.","6832_ALHU"
"32","3/16/2009","Released","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","3650_ANHU"
"33","2/10/2015","Released","Lindsey","No","ANHU","Female-like ","adult-like",1,"Winter","nest-related","Non-selasphorus spp.","5171_ANHU"
"34","4/26/2000","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","window hit","Non-selasphorus spp.","1811_ANHU"
"35","4/9/2002","Released","Lindsey","Yes","Non-selasphorus","unknown","Nestling",2,"Spring","nest-related","Non-selasphorus spp.","2207_ANHU"
"36","3/23/1994","Released","Lindsey","Yes","Non-selasphorus","unknown","Nestling",1,"Spring","nest-related","Non-selasphorus spp.","593_ANHU"
"37","6/18/1998","Released","Lindsey","Yes","ANHU","Female-like ","adult-like",0,"Summer","nest-related","Non-selasphorus spp.","1441_ANHU"
"38","8/11/2010","Released","Lindsey","Yes","ANHU","Female-like ","adult-like",0,"Summer","caught by domestic animal","Non-selasphorus spp.","4050_ANHU"
"39","8/30/2001","Released","Lindsey","Yes","ANHU","Female-like ","adult-like",0,"Summer","found on the ground","Non-selasphorus spp.","2118_ANHU"
"40","1/28/2008","Died","Lindsey","No","ANHU","Male","adult-like",0,"Winter","window hit","Non-selasphorus spp.","3410_ANHU"
"41","4/28/1999","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",1,"Spring","found on the ground","Non-selasphorus spp.","1609_ANHU"
"42","5/25/1991","Released","Lindsey","Yes","ANHU","Female-like ","adult-like",0,"Spring","caught by domestic animal","Non-selasphorus spp.","103_ANHU"
"43","4/20/2011","Released","Lindsey","Yes","Non-selasphorus","unknown","Nestling",7,"Spring","found on the ground","Non-selasphorus spp.","4177_ANHU"
"44","2/24/2015","Died","Lindsey","No","ANHU","Male","adult-like",1,"Winter","caught by domestic animal","Non-selasphorus spp.","5188_ANHU"
"45","7/29/2014","Died","malibu","Yes","Selasphorus","unknown","Nestling",1,"Summer","found on the ground","Selasphorus spp.","6175_ALHU"
"46","11/26/2010","Released","Lindsey","Yes","ANHU","Male","adult-like",0,"Fall","unknown","Non-selasphorus spp.","4076_ANHU"
"47","4/21/2006","Died","Lindsey","No","ANHU","Female-like ","adult-like",1,"Spring","caught by domestic animal","Non-selasphorus spp.","3066_ANHU"
"48","4/4/2013","Released","Lindsey","Yes","Non-selasphorus","unknown","Nestling",0,"Spring","found on the ground","Non-selasphorus spp.","4671_ANHU"
"49","6/10/2016","Released","malibu","No","Selasphorus","Female-like ","adult-like",0,"Summer","unknown","Selasphorus spp.","6775_ALHU"
"50","6/26/2002","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Summer","suspect torpor-like state","Non-selasphorus spp.","2288_ANHU"
"51","3/6/2003","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",1,"Spring","found on the ground","Non-selasphorus spp.","2402_ANHU"
"52","5/16/2005","Died","Lindsey","Yes","Non-selasphorus","unknown","Nestling",0,"Spring","found on the ground","Non-selasphorus spp.","2880_ANHU"
"53","6/23/2004","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",0,"Summer","window hit","Non-selasphorus spp.","2731_ANHU"
"54","5/12/1993","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","found on the ground","Non-selasphorus spp.","464_ANHU"
"55","4/1/1992","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Spring","unknown","Non-selasphorus spp.","233_ANHU"
"56","6/30/2010","Released","Lindsey","Yes","ANHU","Female-like ","adult-like",0,"Summer","found on the ground","Non-selasphorus spp.","4007_ANHU"
"57","3/25/2016","Died","malibu","No","Selasphorus","Female-like ","adult-like",0,"Spring","unknown","Selasphorus spp.","6687_ALHU"
"58","5/28/2013","Died","malibu","No","Selasphorus","Female-like ","adult-like",0,"Spring","unknown","Selasphorus spp.","5953_ALHU"
"59","8/28/2009","Died","Lindsey","No","ANHU","Male","adult-like",0,"Summer","found inside","Non-selasphorus spp.","3815_ANHU"
"60","3/13/1996","Died","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Spring","nest-related","Non-selasphorus spp.","978_ANHU"
"61","5/28/2011","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",1,"Spring","caught by domestic animal","Non-selasphorus spp.","4223_ANHU"
"62","2/19/2013","Died","Lindsey","No","ANHU","Male","adult-like",1,"Winter","found on the ground","Non-selasphorus spp.","4609_ANHU"
"63","2/3/1992","Died","Lindsey","Yes","ANHU","Female-like ","adult-like",1,"Winter","caught by domestic animal","Non-selasphorus spp.","202_ANHU"
